State,State of emergency,Date closed K-12 schools,Closed day cares,Date banned visitors to nursing homes,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Closed non-essential businesses,Began to reopen businesses,Religious Gatherings Exempt Without Clear Social Distance Mandate*,Mandate face mask use by all individuals in public spaces,Mandate face mask use by employees in public-facing businesses,Alcohol/Liquor Stores Open,Keep Firearms Sellers Open,Closed restaurants except take out,Reopen restaurants,Closed gyms,Reopened gyms,Closed movie theaters,Reopened movie theaters,Stop Initiation of Evictions overall or due to COVID related issues,Stop enforcement of evictions overall or due to COVID related issues,Renter grace period or use of security deposit to pay rent,Order freezing utility shut offs,Froze mortgage payments,Modify Medicaid requirements with 1135 waivers (date of CMS approval),Reopened ACA enrollment using a special enrollment period,Allow audio-only telehealth,Allow/expand Medicaid telehealth coverage,Suspended elective medical/dental procedures,Resumed elective medical procedures,"Prior to pandemic, no state unemployment waiting period; or date waiting period waived not found",Waived one week waiting period for unemployment insurance,Waive work search requirement for unemployment insurance,Expand eligibility of unemployment insurance to anyonewho is quarantined and/or taking care of someone who is quarantined,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,Extend the amount of time an individual can be on unemployment insurance,Made Effort to Limit Abortion Access,Efforts to limit abortion access details,Use of telemedicine/telephone evaluations to initiate buprenorphine prescribing,Patients can receive 14-28 take-home doses of opioid medication,Home delivery of take-home medication by opioid treatment programs,Use of telemedicine for schedule II-V prescriptions,Exceptions to emergency oral prescriptions,Waive requirement to obtain separate DEA registration to dispense outside home state,Paid sick leave,Medicaid Expansion,Population density per square miles,Population 2018 ,Square Miles,Number Homeless (2019),Percent Unemployed (2018),Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018
Alabama,3/13/2020,3/18/2020,3/20/2020,3/19/2020,4/4/2020,4/30/2020,3/28/2020,4/30/2020,0,0,5/11/2020,1,1,3/19/2020,5/11/2020,3/28/2020,5/11/2020,3/28/2020,0,0,4/3/2020,0,0,0,3/23/2020,0,0,3/16/2020,3/19/2020,4/30/2020,0,3/16/2020,1,1,0,0,1,"March 19th order suspends all elective surgeries. While abortion is not strictly mentioned inthe order it was interpreted as intending to ban abortion leading to legal action in the state; March 30, 2020 restraining order froze the ban; April 12, 2020 US district judge issued an injuntion blocking Alabama from suspending abortion services during the outbreak.",0,0,0,3/20/2020,0,0,0,0,93.24,4887871,52420,"3,261",5.6,16.8,43.1,"54,352"
Alaska,3/11/2020,3/16/2020,0,0,3/28/2020,5/8/2020,3/28/2020,4/24/2020,0,0,4/24/2020,1,1,3/18/2020,4/24/2020,3/18/2020,5/7/2020,3/18/2020,5/8/2020,3/23/2020,0,0,4/9/2020,0,4/2/2020,0,0*,3/20/2020,3/19/2020,4/20/2020,0,3/26/2020,1,1,1,0,1,"4/7 order delayed non-emergency procedures and surgeries including surgical abortions. ""Healthcare providers are to postpone surgical abortion procedures unless the life or physical health of the mother is endangered by continuation of the pregnancy during the period of postponement""",0,0,0,0,0,0,0,1,1.11,737438,665384,"1,907",6.8,10.9,32.8,"4,453"
Arizona,3/11/2020,3/16/2020,0,0,3/31/2020,5/16/2020,3/30/2020,5/8/2020,1,0,5/8/2020,1,1,3/20/2020,5/11/2020,3/20/2020,5/13/2020,3/20/2020,5/16/2020,0,3/24/2020,0,0,0,3/23/2020,0,3/25/2020,3/25/2020,3/21/2020,5/1/2020,0,3/18/2020,1,1,1,0,0,0,0,0,0,0,3/11/2020,0,1,1,62.91,7171646,113990,"10,007",5.4,14,39.1,"59,282"
Arkansas,3/11/2020,3/17/2020,0,3/13/2020,0,0,0,5/6/2020,0,0,5/11/2020,1,1,3/19/2020,5/11/2020,3/20/2020,5/4/2020,0,0,0,0,0,4/10/2020,0,4/2/2020,0,3/13/2020,3/13/2020,4/3/2020,4/27/2020,0,3/17/2020,1,1,0,0,1,On 4/3/2020 the AR Department of Health put forth a directive on elective sugerires postponing all medically unnecessary procedures. On April 10th the department of health used this order to shut down clinical procedures at the only abortion clinic in the state. Pharmaceutical abortions are still available.,0,0,0,0,0,0,0,1,56.67,3013825,53179,"2,717",4.5,17.2,43.5,"32,336"
California,3/4/2020,0,0,0,3/19/2020,0,3/19/2020,5/8/2020,0,0,5/5/2020,1,0,3/19/2020,0,3/19/2020,0,3/19/2020,0,3/27/2020,0,0,4/2/2020,0,3/23/2020,3/20/2020,3/30/2020,3/18/2020,3/19/2020,4/22/2020,0,3/12/2020,1,1,0,0,0,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,"151,278",5.5,12.8,33.3,"268,818"
Colorado,3/11/2020,3/23/2020,0,3/12/2020,3/26/2020,4/27/2020,3/26/2020,5/1/2020,1,0,4/23/2020,1,1,3/17/2020,0,3/17/2020,0,3/17/2020,0,0,0,0,3/20/2020,0,3/26/2020,3/20/2020,4/1/2020,3/20/2020,3/23/2020,4/27/2020,0,3/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.72,5695564,104094,"9,619",3.9,9.6,31.3,"38,526"
Connecticut,3/10/2020,3/17/2020,0,3/9/2020,0,0,3/23/2020,0,0,4/20/2020,4/3/2020,1,1,3/16/2020,0,3/16/2020,0,3/16/2020,0,4/10/2020,3/20/2020,4/10/2020,3/12/2020,0,3/27/2020,3/19/2020,3/19/2020,3/18/2020,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,644.54,3572665,5543,"3,033",5.5,10.4,36,"31,230"
Delaware,3/13/2020,3/16/2020,4/6/2020,0,3/24/2020,0,3/24/2020,0,1,4/28/2020,5/1/2020,1,1,3/16/2020,0,3/19/2020,0,3/19/2020,0,3/24/2020,3/24/2020,0,3/24/2020,0,3/27/2020,0,0*,3/18/2020,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,388.58,967171,2489,921,5.7,12.5,41.3,"9,433"
District of Columbia,3/11/2020,3/16/2020,0,0,4/1/2020,0,3/25/2020,0,0,4/15/2020,4/15/2020,1,0,3/16/2020,0,3/17/2020,0,3/17/2020,0,0,3/15/2020,0,3/17/2020,0,4/3/2020,4/6/2020,0,3/12/2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,"11,496.81","702,455",61.1,6521,7.5,16.2,31.8,"5,008"
Florida,3/9/2020,3/17/2020,0,3/15/2020,4/3/2020,0,0,0,1,0,5/11/2020,1,1,3/20/2020,0,3/20/2020,0,3/20/2020,0,4/2/2020,4/2/2020,0,0,0,3/16/2020,0,0,3/18/2020,3/20/2020,5/8/2020,0,3/31/2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,323.9,21299325,65758,"28,328",5.2,13.6,42.1,"205,426"
